,raceId,constructorId,points,position,wins
0,18,1,14.0,1,1
1,18,2,8.0,3,0
2,18,3,9.0,2,0
3,18,4,5.0,4,0
4,18,5,2.0,5,0
5,18,6,1.0,6,0
6,19,1,24.0,1,1
7,19,2,19.0,2,0
8,19,3,9.0,4,0
9,19,4,6.0,5,0
10,19,5,2.0,8,0
11,19,6,11.0,3,1
12,19,7,5.0,6,0
13,19,9,2.0,7,0
14,19,11,0.0,9,0
15,19,10,0.0,10,0
16,19,8,0.0,11,0
17,20,1,28.0,3,1
18,20,2,30.0,1,0
19,20,3,10.0,4,0
20,20,4,6.0,6,0
21,20,5,2.0,8,0
22,20,6,29.0,2,2
23,20,7,8.0,5,0
24,20,9,4.0,7,0
25,20,11,0.0,9,0
26,20,10,0.0,10,0
27,20,8,0.0,11,0
28,21,1,34.0,3,1
29,21,2,35.0,2,0
30,21,3,12.0,4,0
31,21,4,6.0,7,0
32,21,5,2.0,9,0
33,21,6,47.0,1,3
34,21,7,9.0,5,0
35,21,9,8.0,6,0
36,21,11,3.0,8,0
37,21,10,0.0,10,0
38,21,8,0.0,11,0
39,22,1,42.0,3,1
40,22,2,44.0,2,0
41,22,3,13.0,4,0
42,22,4,9.0,7,0
43,22,5,2.0,9,0
44,22,6,63.0,1,4
45,22,7,9.0,6,0
46,22,9,10.0,5,0
47,22,11,3.0,8,0
48,22,10,0.0,10,0
49,22,8,0.0,11,0
50,23,1,53.0,2,2
51,23,2,52.0,3,0
52,23,3,15.0,4,0
53,23,4,9.0,7,0
54,23,5,6.0,8,0
55,23,6,69.0,1,4
56,23,7,9.0,6,0
57,23,9,15.0,5,0
58,23,11,6.0,9,0
59,23,10,0.0,10,0
60,23,8,0.0,11,0
61,24,1,53.0,3,2
62,24,2,70.0,2,1
63,24,3,15.0,6,0
64,24,4,9.0,7,0
65,24,5,7.0,9,0
66,24,6,73.0,1,4
67,24,7,17.0,5,0
68,24,9,21.0,4,0
69,24,11,8.0,8,0
70,24,10,0.0,10,0
71,24,8,0.0,11,0
72,25,1,58.0,3,2
73,25,2,74.0,2,1
74,25,3,15.0,6,0
75,25,4,12.0,7,0
76,25,5,7.0,9,0
77,25,6,91.0,1,5
78,25,7,23.0,5,0
79,25,9,24.0,4,0
80,25,11,8.0,8,0
81,25,10,0.0,10,0
82,25,8,0.0,11,0
83,26,1,72.0,3,3
84,26,2,82.0,2,1
85,26,3,16.0,6,0
86,26,4,15.0,7,0
87,26,5,7.0,9,0
88,26,6,96.0,1,5
89,26,7,25.0,4,0
90,26,9,24.0,5,0
91,26,11,14.0,8,0
92,26,10,0.0,10,0
93,26,8,0.0,11,0
94,27,1,86.0,3,4
95,27,2,89.0,2,1
96,27,3,16.0,7,0
97,27,4,23.0,6,0
98,27,5,8.0,9,0
99,27,6,105.0,1,5
100,27,7,25.0,4,0
101,27,9,24.0,5,0
102,27,11,14.0,8,0
103,27,10,0.0,10,0
104,27,8,0.0,11,0
105,28,1,100.0,2,5
106,28,2,90.0,3,1
107,28,3,16.0,7,0
108,28,4,31.0,5,0
109,28,5,8.0,9,0
110,28,6,111.0,1,5
111,28,7,35.0,4,0
112,28,9,24.0,6,0
113,28,11,14.0,8,0
114,28,10,0.0,10,0
115,28,8,0.0,11,0
116,29,1,113.0,2,5
117,29,2,96.0,3,1
118,29,3,17.0,7,0
119,29,4,31.0,5,0
120,29,5,11.0,9,0
121,29,6,121.0,1,6
122,29,7,41.0,4,0
123,29,9,24.0,6,0
124,29,11,14.0,8,0
125,29,10,0.0,10,0
126,29,8,0.0,11,0
127,30,1,119.0,2,5
128,30,2,107.0,3,1
129,30,3,17.0,7,0
130,30,4,36.0,5,0
131,30,5,17.0,8,0
132,30,6,131.0,1,7
133,30,7,41.0,4,0
134,30,9,25.0,6,0
135,30,11,14.0,9,0
136,30,10,0.0,10,0
137,30,8,0.0,11,0
138,31,1,129.0,2,5
139,31,2,117.0,3,1
140,31,3,17.0,8,0
141,31,4,41.0,5,0
142,31,5,27.0,6,1
143,31,6,134.0,1,7
144,31,7,41.0,4,0
145,31,9,26.0,7,0
146,31,11,14.0,9,0
147,31,10,0.0,10,0
148,31,8,0.0,11,0
149,32,1,135.0,1,5
150,32,2,120.0,3,1
151,32,3,26.0,8,0
152,32,4,51.0,4,1
153,32,5,31.0,6,1
154,32,6,134.0,2,7
155,32,7,46.0,5,0
156,32,9,28.0,7,0
157,32,11,14.0,9,0
158,32,10,0.0,10,0
159,32,8,0.0,11,0
160,33,1,135.0,2,5
161,33,2,128.0,3,1
162,33,3,26.0,8,0
163,33,4,66.0,4,2
164,33,5,34.0,6,1
165,33,6,142.0,1,7
166,33,7,50.0,5,0
167,33,9,29.0,7,0
168,33,11,14.0,9,0
169,33,10,0.0,10,0
170,33,8,0.0,11,0
171,34,8,0.0,11,0
172,34,10,0.0,10,0
173,34,11,14.0,9,0
174,34,9,29.0,7,0
175,34,7,52.0,5,0
176,34,6,156.0,1,7
177,34,5,34.0,6,1
178,34,4,72.0,4,2
179,34,3,26.0,8,0
180,34,2,135.0,3,1
181,34,1,145.0,2,6
182,35,1,151.0,2,6
183,35,2,135.0,3,1
184,35,3,26.0,8,0
185,35,4,80.0,4,2
186,35,5,39.0,6,1
187,35,6,172.0,1,8
188,35,7,56.0,5,0
189,35,9,29.0,7,0
190,35,11,14.0,9,0
191,35,10,0.0,10,0
192,35,8,0.0,11,0
193,36,5,0.0,9,0
194,36,9,0.0,8,0
195,36,8,0.0,7,0
196,36,11,0.0,6,0
197,36,7,1.0,5,0
198,36,3,2.0,4,0
199,36,4,4.0,3,0
200,36,2,5.0,2,0
201,37,5,0.0,9,0
202,37,9,0.0,6,0
203,37,8,0.0,8,0
204,37,11,0.0,7,0
205,37,7,3.0,4,0
206,37,3,2.0,5,0
207,37,4,8.0,3,0
208,37,2,10.0,2,0
209,38,5,0.0,9,0
210,38,9,0.0,6,0
211,38,8,0.0,8,0
212,38,11,0.0,7,0
213,38,7,5.0,4,0
214,38,3,2.0,5,0
215,38,4,9.0,3,0
216,38,2,18.0,2,0
217,38,1,44.0,11,1
218,38,6,39.0,1,2
219,39,5,0.0,10,0
220,39,9,4.0,6,0
221,39,8,1.0,7,0
222,39,11,0.0,8,0
223,39,7,5.0,5,0
224,39,3,5.0,4,0
225,39,4,11.0,3,0
226,39,2,23.0,2,0
227,39,1,58.0,11,1
228,40,5,0.0,8,0
229,40,9,4.0,6,0
230,40,8,1.0,7,0
231,40,11,0.0,9,0
232,40,7,5.0,5,0
233,40,3,7.0,4,0
234,40,4,16.0,3,0
235,40,2,30.0,2,0
236,40,1,76.0,11,2
237,41,5,0.0,8,0
238,41,9,4.0,6,0
239,41,8,4.0,7,0
240,41,11,0.0,9,0
241,41,7,6.0,5,0
242,41,3,13.0,4,0
243,41,4,21.0,3,0
244,41,2,38.0,2,0
245,41,1,88.0,11,3
246,42,5,0.0,8,0
247,42,9,6.0,6,0
248,42,8,4.0,7,0
249,42,11,0.0,9,0
250,42,7,9.0,5,0
251,42,3,13.0,4,0
252,42,4,25.0,3,0
253,42,2,39.0,2,0
254,42,1,106.0,11,4
255,43,5,0.0,9,0
256,43,9,6.0,6,0
257,43,8,4.0,7,0
258,43,11,1.0,8,0
259,43,7,9.0,5,0
260,43,3,13.0,4,0
261,43,4,28.0,3,0
262,43,2,48.0,2,0
263,43,1,114.0,11,4
264,44,5,0.0,9,0
265,44,9,6.0,6,0
266,44,8,4.0,7,0
267,44,11,1.0,8,0
268,44,7,9.0,5,0
269,44,3,13.0,4,0
270,44,4,31.0,3,0
271,44,2,56.0,2,0
272,44,1,128.0,11,5
273,45,5,0.0,9,0
274,45,9,16.0,5,0
275,45,8,4.0,7,0
276,45,11,1.0,8,0
277,45,7,9.0,6,0
278,45,3,18.0,4,0
279,45,4,32.0,3,0
280,45,2,61.0,2,0
281,45,1,138.0,11,5
282,46,5,0.0,9,0
283,46,9,16.0,5,0
284,46,8,4.0,7,0
285,46,11,1.0,8,0
286,46,7,12.0,6,0
287,46,3,20.0,4,0
288,46,4,33.0,3,0
289,46,2,71.0,2,0
290,46,1,138.0,11,6
291,47,5,0.0,9,0
292,47,9,16.0,5,0
293,47,8,4.0,7,0
294,47,11,1.0,8,0
295,47,7,12.0,6,0
296,47,3,22.0,4,0
297,47,4,36.0,3,0
298,47,2,77.0,2,0
299,47,1,148.0,11,6
300,48,5,0.0,9,0
301,48,9,16.0,5,0
302,48,8,4.0,7,0
303,48,11,2.0,8,0
304,48,7,12.0,6,0
305,48,3,25.0,4,0
306,48,4,38.0,3,0
307,48,2,86.0,2,0
308,48,1,166.0,11,7
309,49,5,0.0,9,0
310,49,9,18.0,5,0
311,49,8,4.0,7,0
312,49,11,2.0,8,0
313,49,7,12.0,6,0
314,49,3,28.0,4,0
315,49,4,39.0,3,0
316,49,2,90.0,2,0
317,49,1,192.0,11,7
318,50,5,0.0,10,0
319,50,9,23.0,5,0
320,50,8,4.0,7,0
321,50,11,2.0,8,0
322,50,7,12.0,6,0
323,50,3,28.0,4,0
324,50,4,51.0,3,0
325,50,2,92.0,2,0
326,50,1,202.0,11,8
327,51,5,8.0,7,0
328,51,9,24.0,5,0
329,51,8,4.0,9,0
330,51,11,6.0,8,0
331,51,7,12.0,6,0
332,51,3,28.0,4,0
333,51,4,51.0,3,0
334,51,2,94.0,2,0
335,51,1,210.0,11,8
336,52,5,8.0,7,0
337,52,9,24.0,5,0
338,52,8,4.0,9,0
339,52,11,6.0,8,0
340,52,7,13.0,6,0
341,52,3,33.0,4,0
342,52,4,51.0,3,0
343,52,2,101.0,2,0
344,52,1,218.0,11,8
345,53,8,0.0,11,0
346,53,13,0.0,10,0
347,53,7,0.0,9,0
348,53,2,0.0,8,0
349,53,5,0.0,7,0
350,53,9,1.0,6,0
351,53,3,5.0,5,0
352,53,11,5.0,4,0
353,53,1,10.0,2,0
354,53,6,8.0,3,0
355,53,4,10.0,1,1
356,54,8,0.0,11,0
357,54,13,0.0,10,0
358,54,7,1.0,7,0
359,54,2,2.0,6,0
360,54,5,0.0,9,0
361,54,9,1.0,8,0
362,54,3,5.0,5,0
363,54,11,11.0,4,0
364,54,1,15.0,3,0
365,54,6,15.0,2,0
366,54,4,28.0,1,2
367,55,8,0.0,11,0
368,55,13,0.0,10,0
369,55,7,7.0,6,0
370,55,2,10.0,5,0
371,55,5,0.0,9,0
372,55,9,2.0,8,0
373,55,3,5.0,7,0
374,55,11,13.0,4,0
375,55,1,23.0,2,0
376,55,6,15.0,3,0
377,55,4,42.0,1,3
378,56,8,0.0,11,0
379,56,13,0.0,10,0
380,56,7,7.0,7,0
381,56,2,10.0,5,0
382,56,5,0.0,9,0
383,56,9,2.0,8,0
384,56,3,8.0,6,0
385,56,11,15.0,4,0
386,56,1,33.0,2,0
387,56,6,30.0,3,1
388,56,4,51.0,1,3
389,57,8,0.0,11,0
390,57,13,0.0,10,0
391,57,7,7.0,7,0
392,57,2,11.0,5,0
393,57,5,0.0,9,0
394,57,9,2.0,8,0
395,57,3,10.0,6,0
396,57,11,19.0,4,0
397,57,1,38.0,3,0
398,57,6,46.0,2,2
399,57,4,62.0,1,3
400,58,8,0.0,11,0
401,58,13,0.0,10,0
402,58,7,7.0,7,0
403,58,2,12.0,5,0
404,58,5,0.0,9,0
405,58,9,2.0,8,0
406,58,3,10.0,6,0
407,58,11,24.0,4,0
408,58,1,42.0,3,0
409,58,6,59.0,2,2
410,58,4,78.0,1,4
411,59,8,0.0,11,0
412,59,13,0.0,10,0
413,59,7,8.0,7,0
414,59,2,14.0,5,0
415,59,5,0.0,9,0
416,59,9,8.0,8,0
417,59,3,10.0,6,0
418,59,11,29.0,4,0
419,59,1,50.0,3,0
420,59,6,63.0,2,2
421,59,4,91.0,1,5
422,60,8,0.0,11,0
423,60,13,0.0,10,0
424,60,7,8.0,7,0
425,60,2,17.0,5,0
426,60,5,0.0,9,0
427,60,9,8.0,8,0
428,60,3,10.0,6,0
429,60,11,29.0,4,0
430,60,1,59.0,3,0
431,60,6,75.0,2,2
432,60,4,106.0,1,6
433,61,8,0.0,11,0
434,61,13,0.0,10,0
435,61,7,11.0,6,0
436,61,2,19.0,5,0
437,61,5,0.0,9,0
438,61,9,9.0,8,0
439,61,3,10.0,7,0
440,61,11,29.0,4,0
441,61,1,65.0,3,0
442,61,6,87.0,2,2
443,61,4,121.0,1,7
444,62,8,0.0,11,0
445,62,13,0.0,10,0
446,62,7,16.0,6,0
447,62,2,19.0,5,0
448,62,5,1.0,9,0
449,62,9,11.0,7,0
450,62,3,10.0,8,0
451,62,11,32.0,4,0
452,62,1,65.0,3,0
453,62,6,105.0,2,3
454,62,4,131.0,1,7
455,63,8,0.0,11,0
456,63,13,0.0,10,0
457,63,7,21.0,5,0
458,63,2,20.0,6,0
459,63,5,1.0,9,0
460,63,9,11.0,7,0
461,63,3,10.0,8,0
462,63,11,32.0,4,0
