,raceId,driverId,stop,lap,time,duration,milliseconds
0,841,153,1,1,0 days 17:05:23,0 days 00:00:26.898000,26898
1,841,30,1,1,0 days 17:05:52,0 days 00:00:25.021000,25021
2,841,17,1,11,0 days 17:20:48,0 days 00:00:23.426000,23426
3,841,4,1,12,0 days 17:22:34,0 days 00:00:23.251000,23251
4,841,13,1,13,0 days 17:24:10,0 days 00:00:23.842000,23842
5,841,22,1,13,0 days 17:24:29,0 days 00:00:23.643000,23643
6,841,20,1,14,0 days 17:25:17,0 days 00:00:22.603000,22603
7,841,814,1,14,0 days 17:26:03,0 days 00:00:24.863000,24863
8,841,816,1,14,0 days 17:26:50,0 days 00:00:25.259000,25259
9,841,67,1,15,0 days 17:27:34,0 days 00:00:25.342000,25342
10,841,2,1,15,0 days 17:27:41,0 days 00:00:22.994000,22994
11,841,1,1,16,0 days 17:28:24,0 days 00:00:23.227000,23227
12,841,808,1,16,0 days 17:28:39,0 days 00:00:24.535000,24535
13,841,3,1,16,0 days 17:29:00,0 days 00:00:23.716000,23716
14,841,155,1,16,0 days 17:29:06,0 days 00:00:24.064000,24064
15,841,16,1,16,0 days 17:29:08,0 days 00:00:25.978000,25978
16,841,15,1,16,0 days 17:29:49,0 days 00:00:24.899000,24899
17,841,18,1,17,0 days 17:30:24,0 days 00:00:16.867000,16867
18,841,153,2,17,0 days 17:31:06,0 days 00:00:24.463000,24463
19,841,5,1,17,0 days 17:31:11,0 days 00:00:24.865000,24865
20,841,30,2,17,0 days 17:32:08,0 days 00:00:23.988000,23988
21,841,10,1,18,0 days 17:33:02,0 days 00:00:23.792000,23792
22,841,18,2,19,0 days 17:33:53,0 days 00:00:23.303000,23303
23,841,815,1,23,0 days 17:40:27,0 days 00:00:23.438000,23438
24,841,22,2,23,0 days 17:40:45,0 days 00:00:37.856000,37856
25,841,17,2,26,0 days 17:44:29,0 days 00:00:22.520000,22520
26,841,4,2,27,0 days 17:46:04,0 days 00:00:24.733000,24733
27,841,22,3,28,0 days 17:49:07,0 days 00:00:16.892000,16892
28,841,67,2,29,0 days 17:49:47,0 days 00:00:23.100000,23100
29,841,2,2,30,0 days 17:51:32,0 days 00:00:25.098000,25098
30,841,13,2,31,0 days 17:52:28,0 days 00:00:24.500000,24500
31,841,155,2,32,0 days 17:54:21,0 days 00:00:24.192000,24192
32,841,20,2,36,0 days 17:59:17,0 days 00:00:24.036000,24036
33,841,1,2,36,0 days 17:59:29,0 days 00:00:23.199000,23199
34,841,153,3,35,0 days 17:59:45,0 days 00:00:26.348000,26348
35,841,808,2,36,0 days 17:59:47,0 days 00:00:25.683000,25683
36,841,814,2,36,0 days 18:00:48,0 days 00:00:24.332000,24332
37,841,18,3,37,0 days 18:01:49,0 days 00:00:22.681000,22681
38,841,16,2,37,0 days 18:02:15,0 days 00:00:23.871000,23871
39,841,15,2,37,0 days 18:03:55,0 days 00:00:24.848000,24848
40,841,816,2,38,0 days 18:06:53,0 days 00:00:26.446000,26446
41,841,17,3,41,0 days 18:07:37,0 days 00:00:26.230000,26230
42,841,22,4,40,0 days 18:08:03,0 days 00:00:26.309000,26309
43,841,4,3,42,0 days 18:09:08,0 days 00:00:24.181000,24181
44,841,13,3,48,0 days 18:18:54,0 days 00:00:24.095000,24095
45,842,16,1,3,0 days 16:09:07,0 days 00:00:31.694000,31694
46,842,22,1,3,0 days 16:10:04,0 days 00:00:32.978000,32978
47,842,17,1,10,0 days 16:21:21,0 days 00:00:22.572000,22572
48,842,814,1,11,0 days 16:23:16,0 days 00:00:22.773000,22773
49,842,1,1,12,0 days 16:24:40,0 days 00:00:22.552000,22552
50,842,20,1,13,0 days 16:26:17,0 days 00:00:23.019000,23019
51,842,2,1,13,0 days 16:26:28,0 days 00:00:23.900000,23900
52,842,18,1,13,0 days 16:26:29,0 days 00:00:22.400000,22400
53,842,13,1,13,0 days 16:26:30,0 days 00:00:29.224000,29224
