,raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId
0,1061,830,9,2,1,3,17,25:38.426,1538426.0,14.0,0 days 00:01:30.013000,1
1,1061,1,131,1,2,2,17,+1.430,1539856.0,17.0,0 days 00:01:29.937000,1
2,1061,822,131,3,3,1,17,+7.502,1545928.0,17.0,0 days 00:01:29.958000,1
3,1061,844,6,4,4,0,17,+11.278,1549704.0,16.0,0 days 00:01:30.163000,1
4,1061,846,1,6,5,0,17,+24.111,1562537.0,16.0,0 days 00:01:30.566000,1
5,1061,817,1,7,6,0,17,+30.959,1569385.0,17.0,0 days 00:01:30.640000,1
6,1061,4,214,11,7,0,17,+43.527,1581953.0,17.0,0 days 00:01:31.773000,1
7,1061,20,117,10,8,0,17,+44.439,1582865.0,17.0,0 days 00:01:31.687000,1
8,1061,847,3,8,9,0,17,+46.652,1585078.0,17.0,0 days 00:01:32.208000,1
9,1061,839,214,13,10,0,17,+47.395,1585821.0,16.0,0 days 00:01:32.183000,1
10,1061,832,6,9,11,0,17,+47.798,1586224.0,10.0,0 days 00:01:31.991000,1
11,1061,842,213,12,12,0,17,+48.763,1587189.0,17.0,0 days 00:01:32.072000,1
12,1061,8,51,17,13,0,17,+50.677,1589103.0,12.0,0 days 00:01:32.139000,1
13,1061,840,117,15,14,0,17,+52.179,1590605.0,12.0,0 days 00:01:32.210000,1
14,1061,841,51,14,15,0,17,+53.225,1591651.0,14.0,0 days 00:01:32.457000,1
15,1061,852,213,16,16,0,17,+53.567,1591993.0,14.0,0 days 00:01:32.270000,1
16,1061,849,3,18,17,0,17,+55.162,1593588.0,17.0,0 days 00:01:32.143000,1
17,1061,854,210,19,18,0,17,+1:08.213,1606639.0,15.0,0 days 00:01:32.567000,1
18,1061,853,210,20,19,0,17,+1:17.648,1616074.0,3.0,0 days 00:01:33.462000,1
19,1061,815,9,5,20,0,16,\N,0.0,6.0,0 days 00:01:31.465000,76
20,1065,822,131,1,1,3,18,27:54.078,1674078.0,9.0,0 days 00:01:23.540000,1
21,1065,830,9,3,2,2,18,+2.325,1676403.0,9.0,0 days 00:01:23.502000,1
22,1065,817,1,5,3,1,18,+14.534,1688612.0,17.0,0 days 00:01:24.291000,1
23,1065,846,1,4,4,0,18,+18.835,1692913.0,9.0,0 days 00:01:24.554000,1
24,1065,1,131,2,5,0,18,+20.011,1694089.0,9.0,0 days 00:01:24.253000,1
25,1065,844,6,8,6,0,18,+23.442,1697520.0,18.0,0 days 00:01:24.677000,1
26,1065,832,6,7,7,0,18,+27.952,1702030.0,8.0,0 days 00:01:24.918000,1
27,1065,841,51,10,8,0,18,+31.089,1705167.0,10.0,0 days 00:01:25.126000,1
